module	term_id_REAC	genes_hugo
21	REAC:R-HSA-390450	PPP5C;CDC37;MKKS;CCT7;PDCL3;CCT6A;CCT5;CCT8;CCT3;TSC1;CCT2;LALBA;TCP1;PSMG2;CCT6B;PSMG1;CCT8L2;B4GALT1;TUBAL3;POMP;None;CCT4;VKORC1L1;BBS12;TBC1D7
22	REAC:R-HSA-5693571	ERCC1;MSH2;MSH6;ERCC8;NGLY1;XPC;ATP23;APLF;SWSAP1;ERCC4;PRKDC;None;NHEJ1;RAD23B;XRCC6;POLL;CETN2;DNTT;PAXX;XPA;DCLRE1C;XRCC5;POLM;ZSWIM7;PHF21A;APTX;XRCC4;RAD23A;LIG4
24	REAC:R-HSA-500792	SCTR;SCT;CCKAR;GAST;CCKBR;CCL28;CCK
25	REAC:R-HSA-210991	SLC7A9;SLC7A10;SLC3A1;SLC7A5;SLC7A11;SLC7A8;SLC3A2;SLC7A7;CD44;SLC7A6;SLC1A7
26	REAC:R-HSA-977443	RB1CC1;ARHGEF9;GABRA4;GLRB;GLRA3;GABRA6;GABRB2;GABRB1;WDR41;GABRB3;ULK1;GABRA5;ATG101;GABRA3;UBQLN1;GARS1;ULK2;NSF;SMCR8;TBC1D14;GABRA1;MDGA1;CCPG1;ANO6;GABRG2;GPHN;GABRA2;ATG13;C9orf72
28	REAC:R-HSA-9017802	CDH17;NUTF2;CDH1;APH1B;ITGAE;CDH2;FER;CA2;NCSTN;CTNNA1;CTNND2;ZBTB33;PSEN1;CDH5;KLRG1;PSEN2;APH1A;PCDH19;JUP;LIMA1;CTNND1;APC2;PSENEN
30	REAC:R-HSA-193697	RTN4R;NGFR;PRDM4;OMG;SORT1;NTRK2;GNPTAB;ANPEP;ARHGAP32;None;RTN4;FAIM;MAGEH1;LINGO1;DHDDS;NUS1;NGF;BEX3;TNFRSF19;MAG;GIPC1;RGS19;MATK;CPE;NFIC;ECD;BDNF;SORCS2;NTRK1;NTF4;ZNF274
31	REAC:R-HSA-1236978	PSMA4;PSMC4;PSMD5;PSMD8;PSME2;TXNL1;PSMD10;PSMD7;PSMA2;MLEC;RPN2;SSR1;DAD1;ECPAS;PSMB7;PSMC1;PSMA6;USP14;PSMD11;PSMB1;PSMD3;SSR3;PSMB6;PSMA5;PSMB4;PSME3;SSR2;STT3B;RPN1;UBLCP1;PSMD1;PSMD2;PSMC5;PSMA8;PAAF1;SSR4;PSMF1;PSMD12;PSMB10;MAGT1;PSMB5;PSMB2;PSMB9;PSMB8;PSME1;STT3A;ANKRD42;PSME4;PSMB11;PSMD14;PSMC2;PSMD13;DDOST;PSMC6;PSMA1;PSMD6;TUSC3;OSTC;None;PSMD9;TMEM258;OST4;ADRM1;SEM1;PSMC3;PSMB3
32	REAC:R-HSA-5638303	DCN;EGF;SLC5A1;None;EGFR;TGFA;SPINK1;SRC;SHC3;ERRFI1;GPNMB;AREG;LAPTM4B;AFAP1;EPGN;IQSEC1
33	REAC:R-HSA-448424	TNFRSF17;SART3;IL17C;TRAF5;TNFRSF13B;IL17B;USP4;USP15;IL17RB;TNFRSF13C;IL17RC;IL17RD;IL17RA;IL25;IL17F;TNFSF13;None;NLRC3;TIFA;TRAF3IP2;TNFSF13B;IL17RE;TRAF6
34	REAC:R-HSA-5368286	MRPS10;MRPS35;MRPS34;MRPL28;MRPL32;MRPL27;MRPL51;MRPS7;MRPL34;MRPL4;MRPS25;PTCD3;ERAL1;MRPS36;MRPL53;MRPL44;MRPS9;MRPS18B;MRPL15;MTIF2;MRPL3;MRPS5;MRPS28;MRPL49;MRPS17;MRPL17;MRPL10;MRPS18C;MRPL33;MRPL16;MRPL58;MRPL39;MRPL13;MRPL38;MRPL48;MRPL57;MRPL46;MRPL1;MRPS31;MRPS11;MRPS24;MRPS23;GADD45GIP1;MRPL54;MRPL40;MRPL12;MRPL30;MRPL35;MRPL43;MRPL20;AURKAIP1;MRRF;MRPL52;HIBCH;MRPL37;MRPL24;MRPL21;MRPL18;DAP3;MRPL9;MRPL41;MRPS2;MRPL14;MRPS18A;CHCHD1;MRPS16;MRPS15;MRPL50;MRPS26;MTIF3;MRPL2;MRPS33;MRPL19;MRPL23;MRPS6;MRPS12;None;MRPL55;MRPL47;MRPS22;GFM1;MALSU1;MRPS14;MRPL36;MRPS30;MRPS27;MRPL22;MRPL42;MRPS21;OXA1L;MRPL45
36	REAC:R-HSA-375276	UTS2;UTS2R;UTS2B
37	REAC:R-HSA-5685938	RFC2;RPA1;HUS1;TOPBP1;TIPIN;CHTF18;TTBK2;CEP164;SCLT1;CEP89;RAD9A;CLSPN;ATAD5;PRIMPOL;DSCC1;ATRIP;FBF1;ATR;SMARCAL1;RAD52;MUTYH;RPA2;RFC3;HUS1B;RFC1;RAD1;RFC4;RAD9B;CEP83;CHEK1;RFC5;CHTF8;RAD17;TIMELESS;RHNO1
38	REAC:R-HSA-445095	PKP2;DSG3;DSG1;DSC1;DSG2;PKP1;SCN2B;DSC2;SCN3A;GPC2;SCNN1G;EML4;SCN4B;PKP3;SCNN1B;SCNN1A;DSC3;SCN2A;DSP;ALK;ALKAL2;MDK;SCN9A;SCN10A;SCN4A;SCN1B
40	REAC:R-HSA-434316	GNA11;RGS2;FFAR1;PLCB2;GNA15;GNAQ;P2RY1;EDNRA;RIC8A;ARHGEF25;EDN3;PLCB1;EDN2;S1PR3;GNA14;EDNRB;EDN1;GRM2;HTR2A;GRM4;PLCB3;None
41	REAC:R-HSA-383280	CREB3L3;HDAC10;CYP27B1;NR1H2;RARA;NR0B2;RORA;THRA;PPARGC1A;PPRC1;FABP1;FABP5;KMT5B;PPARD;HNF4A;NR2F1;RORC;RARB;NR1I2;RXRG;ESRRG;NR1I3;LPIN3;RXRB;NRF1;THRB;NRIP1;NCOR2;ESRRA;NCOA1;PPARA;RARG;LPIN1;NCOA2;RXRA;EID1;FAM120B;NR4A1;NR1H4;VDR;CHD9;NR1H3
42	REAC:R-HSA-8937144	HDAC7;XBP1;CKM;AHR;HIF1AN;CKB;None;ARNT2;NPAS4;NPAS3;ARNT;SUCO;SIM1;HABP4;HIF3A;ASB9;RACK1;HIF1A;NPAS1
43	REAC:R-HSA-1170546	CD22;TFAP2C;TFF2;TFF1;PRL;SEMA4C;GH1;PTPRCAP;GKN2;PLXNB1;ARHGEF11;HYAL2;PLXNB2;PTPRC;SEMA4D;TFF3;WWOX;FCGBP;PRLR;GHR
44	REAC:R-HSA-442720	KCNQ1;AKAP10;PRKAB1;NCAPH;NCAPG;PRKAB2;KCNH2;PRKX;PRKAR2A;PRKAR2B;AKAP8;SMC2;PRKAG2;KCNE2;NCAPH2;PRKCE;PRKACA;KCNE3;PRKAG1;NCAPD2;KCNE1;PKN1;PRKAA1;AKAP9;SMC4;AKAP4;PDE4DIP;PRKACB;PRKAA2;AKAP14;PRKACG;SLC8A3;PRKAR1A;PKIA;NCAPG2;PRKAG3;AKAP7;NCAPD3;KCNH6;AKAP1
45	REAC:R-HSA-8866652	OTUD5;OTUB2;USP5;USP2;UBE2K;UBE2R2;KLF1;RPS27A;UCHL1;UBE2L6;UBB;UBA6;YOD1;UBA1;ERCC6;ZRANB1;MINDY1;USP21;ZUP1;STAMBPL1;UCHL3;ATXN3L;UBA52;UBR5;UBC;OTUD7B;None;JOSD2
46	REAC:R-HSA-72163	GPKOW;AQR;RBM22;SF3A1;PHF5A;FRG1;PRPF19;SF3B6;SYF2;SNRPA;SNRNP27;SNRPB2;LSM8;DHX35;LSM7;SNRPA1;PRPF38A;BUD13;PPIG;PPWD1;SNW1;DHX8;RBM42;FAM32A;SNRNP40;WDR70;PRPF6;RNF113B;MFAP1;TXNL4B;CCDC97;SF3B4;SDE2;ZMAT2;CWF19L2;CCDC12;SNIP1;SLU7;PATL1;SRRM2;LSM3;SF3B3;PPIH;SART1;LSM1;DDX23;USP39;PRPF3;SNRNP200;SF3B2;PRPF4B;RBMX2;CIR1;XAB2;UBL5;ZNF830;SF3B5;CDC40;BCAS2;NKAP;RNF113A;CDC5L;PPIE;SF3A3;PPIL1;AAR2;PRPF4;LSM2;DHX16;CRNKL1;PRPF18;WBP4;CWC27;SETMAR;SMU1;SNRPN;BUD31;CWC22;EFTUD2;IK;LSM5;CACTIN;DDX46;LSM6;PLRG1;PRPF8;GPATCH8;LSM4;CWC15;SRRM3
47	REAC:R-HSA-2559584	LMCD1;ASF1A;HAND1;EGR1;MYOD1;RFXAP;HIRA;ASF1B;MEF2D;RFX5;RFXANK;NKX2-5;NAB1;ELSPBP1;MEF2C;MEF2A;HAND2;None;FOXP3;UBN1;CABIN1;FOXP2;NFATC1;MEF2B;HDAC9;TLK1;SP7;CIITA
48	REAC:R-HSA-111932	CAMKK1;ADAM10;CALM2;CAMK4;TSPAN5;CAMKK2;CAMK2G;CAMK2D;PLEKHA7;MYLK;TSPAN15;CAMK2B;CAMK2A;TSPAN14;KIF13B;ADAP1;MARCKS;TSPAN33
49	REAC:R-HSA-8854214	ACAP1;RAB40AL;TBC1D17;LNPEP;MAPK8IP3;RAB11FIP5;RAB11A;SPAG9;RAB11FIP3;MYO5B;CYTH3;ARF6;SLC2A4;RAB11FIP1;RAB11FIP2;RAB25;TBC1D4;OPTN;SH3BP5;GULP1;RAB3IP;RAB11FIP4
50	REAC:R-HSA-532668	DERL2;ERLEC1;EGLN3;EDEM1;DERL1;LIMD1;AMFR;RNF139;EDEM3;OS9;SEL1L;UBE2G2;EGLN1;USP33;SYVN1;AUP1;SEL1L2;TMEM129;HM13;SELENOS;UBE2J2;DERL3;GPI;UBE2J1;EGLN2
51	REAC:R-HSA-5668599	NOX3;ARHGDIG;ARHGDIB;RAC2;CYBA;TRAF4;NOX4;DUOXA1;ARHGDIA;RHOB;NCF1;DUOX1;NOXA1;NCF2;NOX1;CYBB;RHOH;NOX5;NCF4;NOXO1;POLDIP2
52	REAC:R-HSA-380972	KDM4B;CTTNBP2;STRADB;PDIA2;FGFR1OP2;STRIP2;CAB39;NUAK1;STRN;CTTNBP2NL;POU4F2;ATAD2;SLMAP;TRIM59;MOB4;STK11;STK25;STRADA;STRN3;TRAF3IP3;SIKE1;STRIP1;LCOR;STK24;POU4F1;STRN4;NCOA7;PDCD10;STK26;GPER1;ESR1;CALCOCO1;SAFB;HSPE1-MOB4;CAB39L
53	REAC:R-HSA-216083	ICAM3;ICAM5;MMP13;ICAM1;TIMP3;THY1;TIMP4;FGB;None;ADAM17;BTN2A1;CD209;CLEC4M;FGG;ICAM4;ITGAL;CCN2;CD99;EFEMP1;ITGB2;ICAM2;TGFBI;ITGAM;ITGAX;SPON2
54	REAC:R-HSA-8939243	ACTL6B;IRF1;SMARCC1;LMNB1;SMARCD3;SMARCB1;SMARCA2;TMPO;SMARCC2;BANF1;BICRAL;SYNE4;ARID1A;SMARCE1;LMNB2;BRWD1;SYNE3;ARID2;SSX2;LBR;PHF10;ARID1B;DPF1;IRF5;SYNE2;IRF6;SYNE1;LMNA;EMD;GTF3A;IRF2;PBRM1;SMARCD1;BICRA;IRF7;SUN1;SUN2;BRDT;SMARCD2;SMARCA4;TOP2B;KASH5;SS18;MYSM1;BRD9;DPF2;None
56	REAC:R-HSA-72306	YTHDC2;HSD17B10;AGO2;IPO8;EIF4E2;XRN1;XPO5;TARBP2;GIGYF1;LSM14B;DCP1B;RPP25L;POP7;RAMAC;TRMT10C;RPP25;PRKRA;EDC3;PNRC2;POP5;EDC4;ILF2;ADAR;AGO3;AGO1;AGO4;RPP40;RNMT;TRIM71;NCBP3;DCP2;TNRC6A;EIF4ENIF1;POP1;RBM4;GIGYF2;RPP30;MOV10;TNRC6B;None;RPP21;RPP14;PATL2;DICER1;PRORP;LSM14A;POP4;DCP1A;NCBP2L;DDX6;RPP38;TRIM39-RPP21
57	REAC:R-HSA-75893	TNFRSF1A;TXN2;SMPD2;BIRC3;OTULIN;BAG4;MADD;GSTM1;CASP2;RNF31;PIDD1;RBCK1;MAP3K5;CLIP3;TAB2;MAP3K7;RFK;TAB3;GLRX;SHARPIN;CYLD;TNF;NSMAF;SPATA2;None;CRADD
58	REAC:R-HSA-6811438	GOLGA5;GOLGA3;COG3;COG5;COG1;COG7;COG8;COG4;COG2;SCFD1;COG6
59	REAC:R-HSA-5467337	PPP2R5B;PPP2CB;PPP2R3A;NKD1;PPP4C;PPP2R1B;PPP2R1A;PPP2R2C;PPP2R5E;CCNG1;MINK1;PPP4R2;TIPRL;IGBP1;PPP2R3B;PTPA;PPP6R3;PPP2R2B;ANKRD28;PPP4R1;PPP6C;PPP2R2D;PPP6R1;PPP2R5D;PPP2CA;PPP4R3A;PPP6R2;PPP4R3B
60	REAC:R-HSA-1810476	BCL3;NFKBIA;USP11;RELB;NFKB1;MAP3K8;BRD4;NFKBIE;REL;DEFB1;NFKBIB;NSD3;TNIP2;SIRT6;NFKB2;RELA;JMJD6;ANGPT1
61	REAC:R-HSA-201451	FSTL3;CHRD;AMH;MGP;ACVR2A;INHBA;ACVR1C;INHA;BMP4;FST;AMHR2;GDF11;MSTN;TWSG1;ACVR1;BMP6;PLA2R1;NODAL;INHBB;BMP10;TDGF1;BMPER;SOSTDC1;RGMB;NOG;ACVR2B;ADARB1;BMP5;BMPR1A;CHRDL1;GDF5;BMPR2;PLA2G2D;BAMBI;GDF9;BMP2;CER1;ACVRL1;BMP7;PLA2G10;AHSG;BMPR1B;ACVR1B;RGMA;GDF2;None
62	REAC:R-HSA-3928663	EPHA8;EFNA2;GDF15;BLK;NGEF;ACP1;EPHA1;EPHA4;INPPL1;EFNA5;EPHA3;GFRAL;EPHA2;ARHGEF15;EFNA1;EFNA3;EPHA7;VAV3;VAV2;EPHA10;FGR;ARHGEF16;EPHA6;EFNA4;None;EPHA5
63	REAC:R-HSA-176407	TRIP13;CBX7;FBXO5;SCML2;PHC2;USP44;ANAPC5;EED;UBE2S;ASXL3;CBX8;CBX4;MAD2L1;CBX2;ANAPC2;SUZ12;SCMH1;EZH2;ANAPC1;JARID2;UBE2C;ANAPC11;CDC16;PCGF3;NEK2;TTK;PCGF6;MTF2;CDC20;CDC26;PHF1;RING1;ASXL1;BMI1;CDC23;FZR1;AEBP2;ASXL2;CBX6;UBAP2L;ANAPC7;EZH1;MAD2L1BP;BAP1;PHC3;ANAPC13;ANAPC4;CDC27;ANAPC15;PHC1;COMMD3-BMI1;ANAPC16;ANAPC10;PCGF2;PHF19;None
66	REAC:R-HSA-190322	FGF4;FGF20;FGF6;FGF23;GALR3;KLB;ANOS1;FGF10;GAL;FGF7;FGFR4;FGF19;GALR1;FGF5;SSH1;HTR1A;FGF13;GALR2;HTR7;KL;FGF9;FGFR1;FGFR2;FGF21;FGF1
67	REAC:R-HSA-1268020	TIMM21;TIMM13;GFER;TIMM10B;SCO1;TIMM10;COX17;GRPEL1;TIMM29;TIMM44;CHCHD4;HSPA9;COX11;PAM16;TIMM22;GRPEL2;None;TIMM17A;DNLZ;TIMM8A;ROMO1;DNAJC15;SLC25A6;DNAJC19;TIMM9;TIMM17B;TIMM8B;TIMM50;TIMM23
68	REAC:R-HSA-9639288	GPATCH1;ITFG2;NPRL2;SESN2;LAMTOR5;WDR59;RRAGB;FNIP2;LAMTOR1;FLCN;WDR24;BMT2;RPTOR;KICS2;KPTN;MIOS;LAMTOR4;LAMTOR2;RRAGD;RRAGC;RRAGA;SLC38A9;DEPDC5;CASTOR1;WDR83;None;FNIP1;LAMTOR3;SZT2;CASTOR2
70	REAC:R-HSA-6802948	TNS1;MAP2K5;VCL;CSK;PAG1;SORBS3;COIL;ACTN4;DLC1;None;MAPK7;TLN1;TNS2;SKAP1;PTPN22;SORBS1;PDLIM1;APBB1IP;TCOF1;SH2D2A;ACTN1;GNE;NOLC1;MAP3K2;ACTN3;TRIM3;TLN2;PIP5K1C
