module	term_id_REAC	genes_hugo
31	REAC:R-HSA-5389840	MRPL33;MRPL27;MRPL49;MRPL58;MRPL9;MRPL30;MRPL14;MTRES1;MRPL10;MRPS30;MRPL15;TBRG4;MALSU1;METTL17;MRPL37;MRPS12;MRPL28;MRPL16;MRPL57;SSBP1;MRPL42;MRPL2;MRPL32;MRPL43;MRPL19;MRPL39;MRPL38;GADD45GIP1;MRM3;MRPL12;MRPL22;MRPL4;MTG1;MRPL41;MRPL35;MRPL21;MRPL52;MRPL13;MRPL24;NGRN;MRPL40;MRPL51;MRPL34;MRPL55;MDH2;MRPL11;TSFM;MRPL17;MRPL50;MRPL1;MRPL18;TUFM;MRPL20;MRPL53;MRPL3;MRPL48;MRPS18A
32	REAC:R-HSA-264876	BSG;MIGA2;MIGA1;EDNRB;IL1R2;EXOC4;EXOC3;EXOC7;DDC;RALB;KRT7;RALA;EXOC2;CD274;FBH1;CHRM4;MKNK2;MYO5A;EXOC5;FASTKD1;LOXL4;EXOC1;COG7;EIPR1;LAPTM4B;EXOC6;XPO6;GNPAT;COG4;COG2;LTN1;COG3;COG8;EXOC6B;CIP2A;ACADL;SLCO6A1;SIGLECL1;COG1;TARBP1;HIP1R;SLC16A4;SLC35F1;TRIM67;COG5;CA14;NPY2R;ESX1;COMTD1;FOCAD;AKAP10;SLC25A28;RGL4;SCN2B;VSIG2;ELAPOR2
33	REAC:R-HSA-1268020	GPD2;IMMT;HTRA2;TIMM13;TIMM8A;IMMP2L;COA6;OMA1;IMMP1L;TIMM9;ENDOG;TIMMDC1;TTC19;APOO;COX5B;COX4I1;OPA1;AFG3L2;SFXN1;MICU2;TIMM8B;CPOX;TOMM70;CHCHD3;USP30;AIFM1;DIABLO;TDRKH;MICOS13;COX6B1;PARL;SLC25A13;MAVS;DNAJC11;PLGRKT;APOOL;SAMM50;SLC25A12;YME1L1;TIMM10;MICU1;OCIAD1;MTX2;TOMM20;LACTB;MTCH1;MTX3;HCCS;COX14;SCO1;FAM136A;COX15;SLC25A51;CISD1;COX5A;MTX1
34	REAC:R-HSA-211859	ZFPM1;DFFA;FERMT2;FBLIM1;UBA3;NAE1;MAT2B;MAT2A;PAFAH1B1;PLA2G7;CAPNS1;CAPN2;PAFAH1B3;EIF1;EIF1AX;EIF5;PAFAH1B2;TWF2;ATIC;UBL7;CAPNS2;OXNAD1;EIF1AY;TATDN1;PPP1R2;DUSP12;AK5;EIF4H;IFI35;PAPSS1;UGDH;ARHGAP25;ARHGAP8;CYP4B1;ASNS;ISOC1;ERP44;PFAS;SYT7;GSS;GMDS;MAT1A;MVK;PRCP;TBCB;RMC1;ACSS2;WDR27;AMDHD1;SCPEP1;PLPBP;DNAI1;CNN2;CHCT1;LRRC10
36	REAC:R-HSA-164940	ARFGAP1;DNER;GIT2;AP1S2;AP1B1;ARF1;THAP11;STAB1;GGA1;MAP1A;NECAP1;AP1M2;CDKL3;RABGEF1;RABEP1;GGA2;VPS51;GGA3;RABGAP1L;PHF21A;BACE2;HEATR5B;ARFGAP3;NUDT3;TUFT1;PKN3;SNAP91;PACS1;AP1G1;ADI1;CCDC91;M6PR;KIF13A;VPS53;RAB4A;AAGAB;ARF3;RABEP2;AP1S1;AP1AR;IQSEC2;LDHC;AP1S3;ARF5;NECAP2;AP1G2;RAB23;ARFGAP2;TPPP3;AFTPH;ARFRP1;PSD3;GALE;HPDL;CPNE5
37	REAC:R-HSA-901032	ERLEC1;OS9;APOB;RNF139;HERPUD1;TMUB1;RTN4;SELENOS;ATP1B3;ARL6IP5;ESYT1;CLN3;LMBR1L;RTN2;ATF6;SSR1;UBAC2;STT3A;CYP51A1;TMEM259;SRPRB;PTPRN;FOXRED2;TMEM33;DERL1;EDEM3;SEC61A2;TMEM41B;DERL2;FAF2;SSR3;RTN1;SARAF;ESYT2;HM13;HMGCR;SEL1L;ERLIN2;TMEM43;LPCAT1;AUP1;SIGMAR1;PSEN1;FADS2;EDEM1;SYVN1;CLN5;KCNK16;AMFR;CLPTM1;ERLIN1;USP19;RNF185;SEC61A1;ERN1
39	REAC:R-HSA-6783310	ATRIP;EME2;PMS2;FANCC;FAAP24;FANCM;CENPX;CENPS;TDG;HES1;TOP3A;SNURF;TELO2;FANCA;FBXO9;CHTF8;FANCL;HUS1;HSPA13;FAAP20;RMI1;MUTYH;HUS1B;RMI2;FANCG;XPA;DDX11;RAD1;RAD9A;FANCF;ELOVL6;EXO1;TTI1;CCHCR1;ZSCAN26;TOPBP1;UBE2T;FAAP100;MSH3;FANCB;RHNO1;RPA4;LIG1;FANCE;OGG1;NEIL1;CHTF18;CLSPN;ZNF518A;DSCC1;RAD9B;TCFL5;FAN1;ETAA1
40	REAC:R-HSA-3238698	WNT5A;FZD4;ICOSLG;ICOS;FZD7;WNT4;LRP6;DKK1;WNT3A;FZD1;LRP5;WIF1;WNT1;WNT2;FZD9;SFRP1;FZD6;FZD8;WNT7A;FZD5;RSPO1;KREMEN1;TSKU;AQP5;WNT2B;FSTL1;AFM;RSPO2;SCGB1D2;PORCN;WNT9A;NKD1;MELTF;SFRP2;WNT11;KRTAP5-8;ZNRF3;WNT5B;WNT10B;RNF43;WNT7B;UQCR11;APCDD1;NOTUM;WNT10A;CAPRIN2;WNT8A;RSPO3;GPC3;MT-CYB;WNT6;WNT16;LGR5;SFRP5
41	REAC:R-HSA-74217	PPID;PNP;SERPINB5;CCS;NNMT;GOT1;PGM1;SNX3;PTMS;PTGR1;SNX12;EFHD2;NUDT9;CAPG;PIR;ADK;LDHAL6A;GNPDA2;DCK;TALDO1;ACAT2;THOP1;AASDHPPT;PHPT1;UFM1;HPRT1;ESD;PPIL3;PSAT1;RBM12;CRIP1;ADA;CHRAC1;KYAT3;GMPS;GLOD4;MDH1;PGLS;ADH5;PGM2;GPI;FAH;GSTO1;PITPNB;PPA1;UROD;GOT2;GLRX;ADSS2;MTAP;APRT;AKR1A1;ANXA5;C11orf54
43	REAC:R-HSA-141424	MAD2L1;CENPA;CENPU;BUB1;NDC80;SPC24;BFSP1;ITGB3BP;ZW10;RABL6;CYLC2;DSTYK;LSM12;MLF1;PMF1;CENPK;ZNF71;CENPP;CENPO;CENPH;SFR1;CENPT;CENPW;ZWINT;DSN1;ALKBH7;NUF2;CENPL;RUFY4;NUDCD3;DDIT4;KNL1;CENPB;CENPQ;DYNC2H1;PPCDC;ZBED4;NSL1;CENPN;CENPI;TTBK2;DYNC2LI1;MIS12;ZNF70;CENPC;ZWILCH;KNTC1;PURG;CENPM;RRP36;NHS;TIGD6
46	REAC:R-HSA-6811442	SYT1;SNAP23;NAPA;DNAJC5;STX1A;GORAB;STX3;VAMP7;VTI1B;SYP;ATP4A;STX16;NAPB;GOSR2;FAM174A;STX2;STX7;VTI1A;STX8;SNAP29;BET1L;USE1;STXBP5;VAMP8;BET1;BNIP1;STX4;STX12;SYPL1;TMEM205;SNAP47;CPLX1;STX6;CLEC12A;VAPB;VAMP3;STX19;NSF;STX10;CPLX2;STX18;GOSR1;VAMP1;VAMP5;VAMP4;SEC22B;RIC3;STX5;STX1B;SNAP25;VAMP2
47	REAC:R-HSA-429958	PKN2;LSM6;NOL7;PHF11;TUT1;DLX4;USP4;RSRC1;AICDA;NOL11;NAA38;GIGYF2;EXOSC5;ZNF511;EXOSC8;LSM3;LSM5;LSM7;EXOSC1;DHPS;DIS3L;LSM1;MPHOSPH6;DIS3;CABLES1;TMCO6;EXOSC9;LSM10;MTMR3;LSM8;EXOSC7;C1D;WDR44;EXOSC2;DLGAP5;EXOSC3;ARHGAP15;TGS1;VASH1;MREG;WDR75;LSM11;ARSI;ST6GALNAC1;PARP8;ARHGAP18;EXOSC6;NSUN5;METTL22;FRMPD2
48	REAC:R-HSA-380108	CXCL12;CXCL13;CCL1;CCL25;CCL20;CXCL8;ACKR1;CCL19;CCL11;CXCR3;CXCL10;CXCR1;CXCR2;PF4;CXCL11;EREG;CXCL9;MMP12;CCL26;CXCL6;CXCL1;VCAN;CCL8;ACKR4;PPBP;CCL21;CCR7;CXCL14;CCR10;CCL28;CHODL;VWC2L;CCL2;CXCL5;CCL13;CCL22;EPGN;FAAH;CXCL17;CXCL3;CXCL2;PF4V1;XCL2;CCL27;XCL1;KIAA1549L;CCL17;CCL24;XCR1;CCR3
49	REAC:R-HSA-445095	CHL1;CNTN6;ABCA1;PLEKHA1;KCNJ16;KCNJ15;KCNJ10;SNTA1;RASGRP1;KCNJ4;CTNNAL1;SLC1A7;ANK3;MPP3;MPP2;SCN4A;KCNJ2;DGKZ;SLC6A12;LIN7B;DMD;TRIM72;LIN7A;ADGRB1;MLC1;DTNA;SNTB1;SCN5A;SNTB2;SGCZ;SLC34A3;SNTG2;SCN2A;MPP7;LIN7C;APBA1;SCN1B;CAV3;CLDN14;KCNJ12;KCNJ18;SNTG1;ABCA12;TMEM37;SLC20A1;SCN4B;SCN1A;SLC25A34;PGM5
51	REAC:R-HSA-975956	AURKB;RPL26;RPL5;RPS28;RRS1;CUL1;GNL3;KIF23;PIH1D1;NPM1;RPS13;KIF20A;CHMP4B;NFX1;RPL28;WWP2;CHD3;RPL23;ITGA4;ILF2;SNU13;RPL19;RPL26L1;LRRC59;NOP56;RPS29;RPS15;RPL18;CAND1;RPL6;RPS8;ILF3;HNRNPU;CIT;SNRNP70;PCBP1;RPS24;PABPC1;RPL17;HNRNPM;RPS6;PRC1;RPL32;RPS16;RPS14;LYAR;PPP1CC;NCL;CHMP4C
53	REAC:R-HSA-6809371	KRT25;KRT19;KRT34;KRT38;TSG101;KRT72;KRT16;KRT80;KRT3;DES;KRT13;KRT85;SUOX;ZFYVE26;KRT26;KRT40;KRT71;KRT20;KRT81;KRT6C;RINT1;KRT4;KRT78;KRT15;PRPH;LMO4;EXOC8;BFSP2;KRT79;TXLNA;KRT76;KRT28;KRT27;FAM110A;KRT6A;TMSB4X;WASHC3;WASHC1;KRT83;KRT37;KRT35;KRT24;KRT74;KRT75;TXLNB;KRT6B;HGS;KRT86
54	REAC:R-HSA-425393	LNPEP;SCAMP3;SLC19A1;SCAMP1;SLC12A2;TMEM216;TRPM7;LAMP1;ITM2C;SYAP1;TMEM115;IGF2R;DHCR7;SLC7A5;SLC39A6;SOAT1;MARCKSL1;KIAA0319L;TMEM63B;ACSL4;PIP4P1;RAB9A;KRAS;ARHGAP1;TMEM17;SLC9A1;SLC39A14;RELL1;SLC3A2;ACSL3;CPD;KIDINS220;SCARB1;CLCN7;NRAS;SLC6A15;TMEM9;FLOT2;SLC1A5;MCAM;SLC6A8;TMEM230;NBEA;SLC4A7;SLC38A2;TGOLN2;STEAP3;SEMA4C
55	REAC:R-HSA-77387	GBA1;STAMBP;ATP6V0D2;SEC31A;RNF128;SMPD3;ABCC2;ERGIC1;IST1;CHMP5;ATP6V1G1;VPS4B;ARL8B;CHMP3;MITD1;CHMP2B;SPAST;RDH10;FZD10;VPS4A;ATP6V1B1;CHMP2A;ATP6V1C2;CHMP1A;ATP6V0A1;ATP6V1H;CHMP1B;HILPDA;BROX;USP8;TM9SF1;ATP6V1D;VTA1;CD83;MYO3B;DACH2;ATP6V1E2;MIB2;NUDT13;ATP6V1C1;TMEM106B;SLC30A5;ATP6V1G2;TCIRG1;BMP2K;TMEM135;ZDHHC13
56	REAC:R-HSA-72163	HNRNPK;VCAM1;HNRNPR;PRMT1;SF1;NONO;KHDRBS2;MATR3;FBXW11;ELAVL1;EWSR1;HNRNPAB;ERG;RBMX;HNRNPH3;PHB1;FN1;HNRNPF;FUS;DHX9;HNRNPA2B1;KHDRBS1;HNRNPA1;SFPQ;HNRNPH2;HNRNPDL;METTL3;METTL14;HNRNPC;XRN2;CUL7;EED;HNRNPUL2;CELF1;HNRNPD;DDX17;TARDBP;HNRNPA3;SYNCRIP;RALY;HNRNPUL1;ITFG1;U2AF2;PTBP1;RBM45;HNRNPA0;DDX5
57	REAC:R-HSA-912631	CSF1R;PIK3CD;BLK;MET;PIK3C2B;SHC4;TNS4;GAB2;RIN1;SHC1;YES1;GRB10;PDGFRA;TNS1;ABL2;PIK3R1;PDGFRB;HAVCR2;SOS1;CRK;KIT;GRB7;CBL;CRKL;RASA1;GRAP;BCR;TGFBR2;PIK3R2;PIK3CB;ERBB2;FLT3;SHB;ERBB4;ERBB3;SOCS6;PIK3R3;ABL1;TXK;FGFR1;DOK1;HCK;PIK3CA;DOK2;INPPL1;RAPGEF1
58	REAC:R-HSA-2022090	FGF1;COL1A1;OLFM3;FGF7;FGFBP1;PRL;LTBP2;COL5A1;PDGFA;COL6A3;THBS1;BGN;SPARC;LAMA3;HSPG2;LAMB3;TNFRSF11B;OLFML3;VEGFA;AGRN;COCH;COL5A3;GPC1;COL2A1;COL6A1;COL9A2;NID1;COL13A1;MMP15;COL3A1;COL1A2;TLL2;PDGFB;PRELP;COL7A1;VWF;COL5A2;LAMC2;MYOC;PCOLCE;VIT;BMP1;COL9A3;GH1;COL9A1;SPINK4
59	REAC:R-HSA-6782315	AGFG1;SAE1;METTL1;WDR4;PRKACB;DBNL;ZPR1;CTPS2;HSPBP1;KIFBP;SURF2;LPP;ACTR3B;SH3GLB1;TP53RK;SH3GLB2;UBAP2;PLIN3;IPO11;UBA5;LRSAM1;TPD52L2;SH3GL1;FKBP10;ERO1A;GPR161;PKIA;FGD5;P3H1;ARPC5L;TPRKB;ACMSD;PLCD4;PRKACG;B3GAT1;NT5DC3;NUTM2F;PKIB;ARPC5;ARPC1A;PPME1;TRMT10A;PDILT;ALAD;ARPC4-TTLL3
61	REAC:R-HSA-111453	PMAIP1;BID;TP53AIP1;BCL2;BAK1;NFATC3;MCL1;BCL2L11;BCL2L2;BCL2A1;GZMH;PPP1R14A;BMF;CSNK1G2;RIOK3;MFN1;PSEN2;BCL2L10;BBC3;SPHK2;MOAP1;CSNK1A1L;TMEM200A;RECK;SLC18A2;RTL10;CASKIN1;BOK;SLC6A13;CSNK1G3;CSNK1G1;KIF22;RUNDC3B;SLC25A38;BNC1;HRK;STARD9;DBNDD2;AVEN;BECN2;DCHS1;MEX3D;PDCL2;IGKV2D-30
63	REAC:R-HSA-4641265	LEF1;TLE1;TCF7;ERCC6L;TLE2;TCF7L1;HES6;TLE4;NLK;SIX1;MYH1;TLE3;NFXL1;MSX1;CALM2;TBX20;RIPPLY2;UTY;HLX;MYH3;RERE;URGCP;PAX9;CDCA8;INCENP;EYA3;AURKC;WDFY2;SIX6;EYA4;SIX2;TBX18;EYA1;SIX4;PHF13;SIX3;BARHL1;H2AC1;THTPA;MTHFR;MYH4;EN1;NOX5
64	REAC:R-HSA-6803207	APAF1;PIDD1;CRADD;NLRC4;CASP10;CARD8;CASP9;NLRP3;MEFV;PYCARD;IL18BP;IL18;IL18R1;IL37;IL1RL2;NOD2;CASP1;IL18RAP;ACAP1;NLRP4;CASP2;NLRP12;NLRP1;CARD6;GZMB;FBXL2;PYDC1;NOD1;CASP4;CASP5;ZNF747;RNPEP;PYDC2;NEUROD4;MYO1F;GABRB1;CARD18;XK;PLA2G4B;SAT2;MZB1;CASP12;USP50
66	REAC:R-HSA-73780	POLR3C;POLR2J;POLR2F;POLR2I;POLR3H;POLR1G;POLR1B;POLR3K;NFKBIB;POLR3G;POLR1C;POLR1E;POLR1F;RPRD2;POLR2E;RPRD1B;POLR2D;SCAF1;POLR3F;POLR2L;POLR3GL;RPAP1;ELOA;POLR3D;POLR2H;GPN3;RECQL5;POLR2G;POLR2C;RNGTT;RPAP2;RPRD1A;POLR1A;POLR3E;UXT;GPN1;POLR2K;POLR2B;POLR3B;URI1;POLR1D;CRCP;POLR3A
67	REAC:R-HSA-3000157	RBP3;COL18A1;COL16A1;CCN4;C1QA;OGN;SERPINE2;PLOD1;NID2;COL8A2;MATN2;TMEM25;CRP;COL4A4;COL4A2;ANTXR2;COLEC12;C1QTNF2;OSM;LAMC1;SAA1;COL4A6;APCS;DPT;FBLN2;HABP2;C1QTNF9;COLQ;DCN;COL4A3;C1QTNF9B;TGFBI;LAMA1;COL4A5;LAMA5;CRTAP;COL14A1;COL4A1;COL8A1;LAMB1;ACHE;COL6A2;CCN3
69	REAC:R-HSA-139853	NPR1;TRPC1;IRAG1;ITPR1;FKBP1A;HOMER3;ITPR2;TRPC4AP;C1orf116;SAXO1;RYR1;HOMER2;PRKG1;ITPR3;SHTN1;PPP1R12B;CA8;FBXO28;ATP2C2;TRPC3;ORAI2;ORAI1;MEGF10;FABP3;ARHGEF15;HOMER1;TRPC6;SHANK1;RAB29;TRPC5;TRPC4;GRM5;RYR2;ORAI3;RYR3;LURAP1L;PDE5A;WDR83OS;BBOX1;TRPC7;TRPM2;PPP1R17
70	REAC:R-HSA-6807505	ZNF420;HOPX;ZNF687;TBL1Y;INTS6;MBD2;NABP2;INTS12;ZNF532;MTA3;CDK2AP1;INTS11;INTS4;ZNF219;NABP1;INTS15;INIP;ESF1;NAIF1;INTS13;INTS7;ZMYND8;ST8SIA1;INTS9;INTS10;PRCC;NACC2;ZNF827;SPIC;DSE;ZNF800;INTS2;INTS5;ZNF592;CHD5;INTS8;GTF3C6;INTS1;HARBI1;INTS14;UNC80
71	REAC:R-HSA-1482922	IL11;IL11RA;KCNK9;KCNK3;S100A10;TRPV6;AREG;PLA2G4A;RPS6KA1;CSDC2;CALB1;S100A4;MKNK1;S100B;S100P;NBL1;S100A1;TRPM4;S100A7A;PLA2G4C;S100A16;S100A14;S100A2;S100G;DEPTOR;S100A3;S100A6;TOB2;SLC8A1;CHCHD7;IMPA1;TRPV5;S100Z;S100A5;PLA2G2F;RASGEF1C;S100A11;OR14I1;PTGR2;OR4N2;PLA2G5
72	REAC:R-HSA-3769402	LHX2;CBFA2T3;LDB1;ZMIZ2;BCL9;IRF2BP2;LYL1;WDR45;RLIM;TTLL7;ISL1;ZNF138;SSBP3;SS18L1;ZHX1;TAL1;KLF3;LHX8;LHX4;SSBP2;CBFA2T2;LHX6;SALL2;SNRNP25;LDB2;LHX9;HOXC5;SSBP4;EXOC3L1;PYGO1;BCL9L;ZNF226;ZNF33B;BOD1L2;ISL2;IDI2;REXO1;PYGO2;LMX1A;ZNF652;ZMYM1
73	REAC:R-HSA-442982	DLGAP2;RASGRF1;VTN;MAP2;APBB2;PRKCG;MAPK8IP2;SNX17;APP;APLP2;LRP8;NETO1;ANKS1B;GRIN2D;SLC1A1;ARHGAP32;GRIN1;DLG2;NOS1;DLG3;GRIN2A;LRP1;MAPK8IP1;LRP2;DLGAP3;GRK2;CDK5R1;PRKACA;GRIN3A;DLG4;DLG1;AKAP5;CALM3;EGF;CYTH2;STXBP1;RASGRP3;GRIN2B;CAMK2A;DAB1;PRKCA
75	REAC:R-HSA-8963899	APOA1;ANGPTL8;ANGPTL3;ABCA7;CD40LG;PRDX4;A1BG;LBP;APOA2;APOC1;APOA5;CMTM6;BPIFA2;CETP;LPL;CD160;APOL1;SAA2;FOXD4L3;PLTP;LCAT;APOC2;CFHR2;CFHR1;GPIHBP1;PDE4B;CRISP3;IGHM;NAXE;GLIPR1;APOF;SMPDL3A;HPR;CD5L;PON1;GOT1L1;CYP27A1;GLTPD2;PON3;DBX1
76	REAC:R-HSA-1566948	STC2;MATN3;ADAMTSL2;FBLN1;A2M;COMP;ELN;HTRA1;MFAP2;ECM1;EMILIN3;FBLN5;LTBP1;ADAMTS7;MATN1;LTBP4;TGFB2;EFEMP1;CILP2;LOX;ADAMTS12;EFEMP2;ADAMTSL1;LAMB2;EGFL7;LOXL1;NELL1;VWCE;HAPLN3;ODAPH;HBEGF;FBN1;CCN2;EOGT;FBN2;PLA2G10;LTBP3;MFAP5;MATN4;CSN1S1
77	REAC:R-HSA-68962	CDKN2A;DBF4;CDC7;SLC7A11;ORC2;MCM8;BAAT;MCM10;HERC3;MCMBP;ORC6;FRAT2;DCAF12;KMT2E;GMEB2;OBI1;ZNF768;TDRD7;SLC25A2;CDC6;RIPPLY3;CDC45;CYP39A1;ORC1;ORC5;ORC4;DTD1;RDH5;ORC3;PPIL4;LRWD1;DMRTA1;TBX1;SLC16A6;TSPY10;RLBP1;NDUFB2;SLC25A15;MOGAT2
78	REAC:R-HSA-6802948	IRS4;STUB1;BRAF;PPP2R1A;MAP3K7;HSPB1;RAF1;AKT1;HAX1;HSP90AB1;MAP3K5;HSPA6;EGFR;UBB;FASN;MAP2K1;ARRB1;HSPA5;MAP2K5;HDAC6;AURKA;ARRB2;HSPA9;HSP90AA1;MAP2K3;HSPA4;DNAJA1;FKBP5;HSPA8;MAPK3;MAP3K1;PRKCZ;MAP2K2;ILK;MAP3K3;CDC37;ARAF;DNAJC7;TAB1
79	REAC:R-HSA-982772	STAT3;SOCS1;JAK1;IL2RB;IL7R;PRLR;STAM2;JAK3;JAK2;GRB14;STAM;IRS2;SOCS3;STAP2;GHR;IFNAR1;TYK2;IGF1R;PTPN11;CSF3R;FES;SH2B1;CXCR4;PTPN6;SOCS2;NTRK2;CCR5;PTPRC;STAT5A;CSF2RB;SH2B2;IRS1;IL6ST;IL2RG;LEPR;IL4R;EPOR;STAT5B;INSR
80	REAC:R-HSA-9652817	CERS2;TMCO1;MON2;FAR1;PGRMC1;ELOVL1;TMEM165;CHP1;CLGN;DUSP22;PTPRN2;SLC15A3;YIF1B;DHCR24;XPOT;PTPN5;DUSP9;SNX19;UNC93B1;AAAS;DNAJB12;ALG1;P2RY6;TMX3;PTPRH;DGKE;MOGS;TM9SF3;SLC27A2;HSD17B12;ATP2B1;DUSP6;TECR;SLC27A4;ABCC1;DUSP7;PLD3;YIPF5;MTM1
81	REAC:R-HSA-381340	MED16;MED22;SREBF1;NUDCD1;MED25;MED24;MED6;MED8;MED23;MED11;MED31;MED12;MED28;MED26;CDK8;QKI;MED10;MED9;MED18;MED13;MED17;BIRC5;MED15;MED13L;MED14;THRA;MED7;STN1;MED19;MED12L;MED29;CTDP1;MED1;MED21;MED20;CCNC;MED30;None;MED27
83	REAC:R-HSA-5617472	RCHY1;HOXA2;GMNN;PKNOX1;PBX1;HOXA10;HOXA9;MEIS2;PBX3;HOXD10;PKNOX2;LMX1B;PRDM4;MEIS1;PRTFDC1;VWA5A;TCF21;HOXB7;TLX1;MEIS3;HOXA7;ZNF160;HOXD9;EMX1;HOXB6;MCIDAS;C5orf24;MAB21L1;HOXB1;HOXB4;HOXA13;HOXB8;HOXA11;HOXD11;AOX1;CRTC1;FAM222A;None
85	REAC:R-HSA-8939243	CCNK;DDHD1;KDM2B;PHC3;SCMH1;CASZ1;CBX6;PHC1;PCGF5;SCML2;PCGF3;CBX7;PCGF6;FBRS;MARF1;SRGAP2B;SOWAHA;SFMBT2;POM121C;SCML1;IFFO1;SYCP3;BLTP3B;SFMBT1;AMOTL1;COBLL1;BCORL1;TLK2;CDADC1;CR1L;SLF2;HORMAD2;B3GNT5;ZNF516;ZNF217;FBRSL1;SYCP2;ZNF214
86	REAC:R-HSA-549132	SLC5A6;TBC1D10A;PLCB2;SRY;SLC9A3R1;KLHL24;ABCC4;LPAR2;PDZK1;SLC9A3R2;C11orf87;MAST2;SLC15A2;KLHL17;PDZD3;GUCY2C;SLC1A3;SLCO3A1;SLC15A5;SLC26A3;SLC22A3;CLCN3;SLC22A5;TAS2R8;SDK2;PIGL;SLCO1C1;SLC9A3;SLC34A1;P2RY1;SLC22A12;SLC22A4;SLCO1A2;KCNJ1;SLC22A11;ZNF208;SLC17A1
87	REAC:R-HSA-4839735	ESPL1;PTTG1;MBD1;PPP2R5D;CCNG2;HSPA14;KIF2C;PRR14;MOS;HEYL;SGO2;HIPK3;DZIP1;BEST1;PTTG1IP;PPP2R5A;PPP2R5C;SLC22A23;ATF7IP2;HAND1;PPP2R5E;PPP2R1B;SGO1;BTBD6;SGMS2;PPP2R5B;FBXL3;ZNF566;EIF4EBP3;HAND2;SP8;FAM43A;SPATS2L;PHOX2A;TENM1;ZNF519;RGN
88	REAC:R-HSA-948021	NPSR1;TMED2;TMED10;F2RL1;LMAN2;MFSD10;SEC24D;TMED1;SEC24A;GSAP;CHCHD6;SLC39A13;PPIC;PSENEN;SEC23B;ARFIP1;SLC10A2;GART;CDK5RAP3;COPZ1;SLC32A1;P2RY4;TMED9;DESI2;TMED5;SLC18B1;AACS;TM9SF4;CHST8;GALNT1;SEMA3G;PGM2L1;TMED3;TMED4;GALNT13;MAN2A1;TSPAN11
89	REAC:R-HSA-399721	AGAP2;GRIA2;GRIA1;RRAD;PRLHR;CAMK2B;CAMK2D;GRIP1;CAMK2G;ICA1L;TAAR1;TNPO3;TH;RAP2B;KRTAP19-3;SVOP;GRIK1;PLCB3;CRABP1;ZNF843;GRIA4;UMAD1;GRIP2;GRIK2;GRIK5;DACT2;PPP1R1C;CACNG2;ZNF569;CACNG7;GRID2IP;GRIA3;GRIK3;GRID2;CAMK2N2;PRLH;GRIK4
90	REAC:R-HSA-9675135	MSH6;RAD50;NBN;TERF2IP;TERF2;BRCA2;RPA1;RPA3;FEN1;MSH2;H2AX;PRKDC;MLH1;APEX1;CHAF1A;RAD51;ATM;XRCC5;ATR;CHEK2;PCNA;BLM;RFC1;BRCA1;CHEK1;TP53BP1;RPA2;TERF1;POLD1;MRE11;XPC;WRN;BARD1;XRCC1;ATRX;XRCC6;FANCD2
91	REAC:R-HSA-8856828	ADAM9;GRB2;PDE6G;REPS2;SNX18;ADAM10;FASLG;SH3GL3;SNX8;DNM3;NCF1;GRAP2;FER;FNBP1;SH3D19;ASAP2;PPP3CA;DNM1;ADAM12;PTPN23;ARHGAP9;SH3KBP1;TRIP10;ASAP1;TNK2;PACSIN3;SYN1;SH3GL2;BIN1;SOS2;ADAM17;SYNJ1;DNM2;ADRB1;ADAM8;SNX9;AMPH
92	REAC:R-HSA-434316	CHRM1;F2R;GNAQ;HTR2B;HTR1A;GRM2;CYP2S1;S1PR4;GRM7;S1PR1;HTR1D;TBXA2R;RGS2;CCR1;GJB7;HTR1B;GNA11;GPR39;PLCB1;KISS1R;FFAR1;HTR2A;GAP43;DRD5;ARHGEF1;RASA2;MARVELD2;CHRM2;GRM4;GNA15;BDKRB1;S1PR3;CXCR5;GNA12;S1PR2;GNA14;GNA13
94	REAC:R-HSA-112382	HECW1;EAF2;TAF1B;EAF1;AFF4;DENND2D;ALKBH4;ELL;SENP7;SCAI;MLLT10;ZNF91;ELL2;FAM228A;TAF1D;MLLT3;MLLT1;ANKRD52;TRIM17;VAX1;TRIM44;SOX7;TAF1C;SP110;AFF1;ELL3;RNH1;TAF1A;HPN;DOT1L;RNASE2;SETDB2;AFF3;CCNT2;RANBP17;ICE2
95	REAC:R-HSA-977606	CUBN;AMN;C3;C5;C5AR1;CFH;CPN1;CPN2;C6;TRMT11;CD8A;CD8B;CFHR4;CFI;DCDC2;PID1;SCGB1A1;CBLIF;C5AR2;C8G;C8A;C9;CFHR5;GC;CD59;TM4SF1;DPY19L3;TP53I11;PRSS8;CFHR3;DMP1;C8B;C7;CACNG4;CEMIP2;SLC13A1
96	REAC:R-HSA-8876198	GLB1;TRAPPC2L;ZNF383;TRAPPC2;STMN4;KANK4;TRAPPC6A;TRAPPC3;EDRF1;TRAPPC12;SNAPC5;TBC1D14;NOL4;SNAPC1;TRAPPC5;ARHGEF38;TRAPPC14;SNAPC3;SNAPC4;CAVIN2;TRAPPC1;TRAPPC9;FAM9C;TTC4;TRAPPC10;TRAPPC6B;TRAPPC8;RAB30;SULT1A2;SUCO;TRAPPC2B;SNAPC2;TRAPPC11;HGH1;TRAPPC3L;CABS1
